console,company,release_year,discontinued_year,release_price,units_sold
NES,Nintendo,1985,1995,179.00,61910000
Game Boy,Nintendo,1989,2003,89.99,118690000
SNES,Nintendo,1990,2003,199.00,49100000
Virtual Boy,Nintendo,1995,1996,179.95,770000
Game Boy Advance,Nintendo,2001,2010,99.99,81510000
Atari 2600,Atari,1977,1992,199.00,30000000
Sega Genesis,Sega,1988,1997,189.00,30750000
Game Gear,Sega,1990,1997,149.99,10620000
Sega CD,Sega,1991,1996,299.00,2240000
3DO,The 3DO Company,1993,1996,699.99,2000000
PlayStation,Sony Electronics,1994,2006,299.00,102490000
PlayStation 2,Sony Electronics,2000,2013,299.00,155000000